Human Timestamp,Unix Time,Microseconds,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,IMU Temperature,Pressure,Pressure Temperature
Thu Nov 12 00:12:48 IST 2020,1605120168,900004,0.029814132,0.18702917,-9.841128,-0.18498474536712334,-0.22543447269702516,0.40829933604600116,1280.7285,-414.22916,529.742,39.769444,98469.65,41.54
Thu Nov 12 00:12:48 IST 2020,1605120168,950009,0.04947519,0.1798839,-9.794127,-0.2636397808929131,-0.25912240761235283,0.41138840293462564,1281.6064,-414.1108,530.0352,39.75947,98471.52,41.54
Thu Nov 12 00:12:49 IST 2020,1605120169,31,0.035563204,0.18408723,-9.767713,-0.23032705103599146,-0.23477483227800838,0.40900299731249407,1281.4744,-413.34207,529.8244,39.76106,98470.97,41.54
Thu Nov 12 00:12:49 IST 2020,1605120169,50216,0.00824044,0.21189411,-9.816184,-0.179437948742156,-0.24541072696256144,0.42740553804776404,1281.3943,-414.27264,530.36456,39.752655,98468.95,41.535
Thu Nov 12 00:12:49 IST 2020,1605120169,100023,0.029618414,0.1960197,-9.800652,-0.21655090098953425,-0.2599577776933408,0.4091085616806661,1281.7491,-414.85794,529.2314,39.75535,98469.72,41.54
Thu Nov 12 00:12:49 IST 2020,1605120169,150021,0.050896775,0.15158944,-9.82859,-0.15515335344378337,-0.22167331519407146,0.3926563435173979,1281.0986,-415.11472,529.98376,39.758827,98470.29,41.54
Thu Nov 12 00:12:49 IST 2020,1605120169,200082,0.028898843,0.19049507,-9.808778,-0.21039893063135606,-0.23362191531885793,0.4252688272024117,1281.9554,-414.3919,529.5956,39.764954,98467.42,41.54
Thu Nov 12 00:12:49 IST 2020,1605120169,250009,0.0359855,0.18062271,-9.806774,-0.2206225475085081,-0.2267737210112831,0.4066734854050704,1281.8433,-414.5046,529.04706,39.753006,98469.17,41.54
Thu Nov 12 00:12:49 IST 2020,1605120169,300318,0.05300984,0.15498202,-9.793381,-0.18925503655445838,-0.24480646392123998,0.4125059736648213,1282.0961,-414.86642,529.7561,39.75728,98469.08,41.54
Thu Nov 12 00:12:49 IST 2020,1605120169,350022,0.025389504,0.18839094,-9.77816,-0.24437407500128278,-0.23791838889801137,0.38954344685766923,1282.1536,-414.84293,529.0725,39.75788,98468.445,41.54
Thu Nov 12 00:12:49 IST 2020,1605120169,400023,0.017497892,0.20157532,-9.7935095,-0.23688999008197978,-0.25386617861832644,0.42559333707897806,1282.3789,-414.74835,530.036,39.760822,98470.945,41.54
Thu Nov 12 00:12:49 IST 2020,1605120169,450181,0.047026288,0.19324096,-9.809894,-0.19643675279375447,-0.24670925976026703,0.4293897459471481,1282.3074,-413.86847,529.574,39.7582,98469.14,41.54
Thu Nov 12 00:12:49 IST 2020,1605120169,500024,0.0359578,0.1675225,-9.822011,-0.2714076791449778,-0.2366648215123417,0.3959399569608816,1282.2219,-413.95557,529.77576,39.75029,98470.734,41.54
Thu Nov 12 00:12:49 IST 2020,1605120169,550009,0.013254475,0.24151552,-9.818507,-0.15855523351002052,-0.24327809525796346,0.4042045238020924,1282.1705,-415.05295,529.1838,39.75958,98468.72,41.54
Thu Nov 12 00:12:49 IST 2020,1605120169,600047,0.030205056,0.17674121,-9.820746,-0.13464474285068764,-0.22043885336533015,0.3952629713776471,1282.0018,-415.08,529.6019,39.75849,98469.984,41.55
